IP;EndPoint;Data e Hora
::1;localhost:7188/orgao;09/11/2023 10:39:06
::1;localhost:7188/orgao;09/11/2023 10:39:14
::1;localhost:7188/orgao;09/11/2023 10:39:25
::1;localhost:7188/orgao;09/11/2023 12:11:11
::1;localhost:7188/orgao;09/11/2023 12:11:17
::1;localhost:7188/orgao;09/11/2023 12:12:00
::1;localhost:7188/orgao;09/11/2023 12:12:02
::1;localhost:7188/orgao;09/11/2023 12:12:07
::1;localhost:7188/orgao;09/11/2023 12:12:36
::1;localhost:7188/orgao;09/11/2023 12:15:37
::1;localhost:7188/orgao;09/11/2023 12:15:59
::1;localhost:7188/orgao;09/11/2023 12:16:03
::1;localhost:7188/orgao;09/11/2023 12:16:11
::1;localhost:7188/orgao;09/11/2023 12:16:30
::1;localhost:7188/orgao;09/11/2023 12:17:20
::1;localhost:7188/orgao;09/11/2023 12:22:04
::1;localhost:7188/orgao;09/11/2023 12:23:51
::1;localhost:7188/orgao;09/11/2023 12:23:57
::1;localhost:7188/orgao;09/11/2023 12:24:01
::1;localhost:7188/orgao;09/11/2023 12:24:14
::1;localhost:7188/orgao;09/11/2023 12:27:20
::1;localhost:7188/orgao;09/11/2023 12:28:24
127.0.0.1;localhost:7188/orgao;09/11/2023 12:28:45
127.0.0.1;localhost:7188/orgao;09/11/2023 12:29:57
127.0.0.1;localhost:7188/orgao;09/11/2023 12:31:02
127.0.0.1;localhost:7188/orgao;09/11/2023 12:33:38
127.0.0.1;localhost:7188/orgao;09/11/2023 12:34:25
127.0.0.1;localhost:7188/orgao;09/11/2023 12:34:36
127.0.0.1;localhost:7188/orgao;09/11/2023 12:34:40
::1;localhost:7188/orgao;09/11/2023 12:35:35
::1;localhost:7188/orgao;09/11/2023 12:36:05
::1;localhost:7188/orgao;09/11/2023 12:37:46
::1;localhost:7188/orgao;09/11/2023 12:38:25
::1;localhost:7188/orgao;09/11/2023 12:38:29
::1;localhost:7188/orgao;09/11/2023 12:42:59
::1;localhost:7188/orgao;09/11/2023 12:45:01
::1;localhost:7188/orgao;09/11/2023 12:45:07
::1;localhost:7188/orgao;09/11/2023 12:46:51
::1;localhost:7188/orgao;09/11/2023 12:47:25
::1;localhost:7188/orgao;09/11/2023 12:47:27
::1;localhost:7188/orgao;09/11/2023 12:47:47
::1;localhost:7188/orgao;09/11/2023 12:48:09
::1;localhost:7188/orgao;09/11/2023 12:48:31
::1;localhost:7188/orgao;09/11/2023 12:49:21
::1;localhost:7188/orgao;09/11/2023 12:49:44
::1;localhost:7188/orgao;09/11/2023 12:49:47
::1;localhost:7188/orgao;09/11/2023 12:49:48
::1;localhost:7188/orgao;09/11/2023 12:50:00
::1;localhost:7188/orgao;09/11/2023 12:50:01
::1;localhost:7188/orgao;09/11/2023 12:50:17
::1;localhost:7188/orgao;09/11/2023 12:50:19
::1;localhost:7188/orgao;09/11/2023 12:50:37
::1;localhost:7188/orgao;09/11/2023 12:50:57
::1;localhost:7188/orgao;09/11/2023 12:51:17
::1;localhost:7188/orgao;09/11/2023 12:51:23
::1;localhost:7188/Orgao;15/11/2023 19:48:30
::1;localhost:7188/Orgao;15/11/2023 19:50:18
::1;localhost:7188/Orgao;15/11/2023 19:58:19
::1;localhost:7188/Orgao;15/11/2023 19:59:16
::1;localhost:7188/Orgao;15/11/2023 20:00:48
::1;localhost:7188/Orgao;15/11/2023 20:01:15
::1;localhost:7188/Orgao;15/11/2023 20:01:40
::1;localhost:7188/Orgao;15/11/2023 20:03:38
::1;localhost:7188/Orgao;15/11/2023 20:03:46
::1;localhost:7188/Orgao;15/11/2023 20:05:38
